customer_id,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,FraudFound_P
10051,430,59,691189,10-01-2004,OH,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,03-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,0
10054,223,40,729634,28-04-1994,IN,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,27-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,Forrestor,0
10056,22,26,420810,11-08-2007,OH,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,06-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,0
10057,439,56,524836,20-11-2008,IN,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,28-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,?,2,3,?,56430,0,6270,50160,Honda,CRV,0
10059,11,39,623648,19-05-1993,IL,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,07-01-2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,0
10060,151,36,485372,26-02-2005,OH,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,06-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,0
10061,154,34,598554,14-02-1990,IN,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,10-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,Maxima,0
10062,245,44,303987,30-09-1993,IL,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,11-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,0
10063,119,32,343161,10-06-2014,IL,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,12-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,0
10064,215,42,519312,28-10-2008,OH,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,06-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,1
10065,295,42,132902,24-04-2007,OH,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,20-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,1
10066,254,39,332867,13-12-1993,IN,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,22-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,0
10067,107,31,356590,17-08-2011,IN,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,30-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,0
10068,478,64,346002,20-08-1990,OH,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,02-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,0
10069,128,30,500533,11-02-1994,OH,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,0
10071,271,42,486676,15-08-2011,OH,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,20-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,68310,12420,6210,49680,Audi,A3,0
10072,222,41,260845,11-11-1998,OH,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,08-02-2015,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,0
10073,199,41,657045,04-12-1995,OH,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,11-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,0
10074,215,37,761189,28-12-2002,IN,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,23-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,0
10075,192,40,175177,15-04-2004,IL,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,01-03-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,0
10076,120,35,116700,02-02-2001,OH,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,15-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,0
10077,270,45,166264,12-01-2010,OH,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,14-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,0
10078,319,47,527945,14-04-1992,IN,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,17-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,A3,0
10080,227,38,279422,27-10-2013,OH,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,21-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,1,?,1,2,?,72200,14440,7220,50540,BMW,M5,0
10081,137,31,484200,12-10-1994,OH,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,52700,-40600,19-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,0
10085,284,48,498140,15-05-1997,IN,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,19-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,?,2,3,NO,60940,5540,11080,44320,Audi,A3,0
10086,275,41,498875,26-10-1996,OH,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,35700,0,02-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,YES,0,1,?,58300,5830,11660,40810,Suburu,Legacy,0
10087,153,34,798177,04-03-2006,IL,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,30-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,NO,2,1,?,68400,11400,11400,45600,Ford,F150,0
10088,134,32,614763,02-01-1991,IL,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,36400,0,08-01-2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,?,2,1,YES,64240,11680,11680,40880,BMW,3 Series,0
10090,41,25,958857,15-01-1992,IN,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,07-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,12,3,YES,2,0,?,45120,0,5640,39480,Accura,MDX,0
10091,127,29,686816,07-12-1999,OH,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,0,0,24-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,YES,1,1,?,66950,10300,10300,46350,Saab,93,0
10092,61,23,127754,06-06-1993,IL,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,02-02-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,NO,0,3,?,98340,8940,17880,71520,Honda,Accord,0
10094,219,43,731450,29-12-2010,IN,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,09-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,NO,1,1,?,70680,5890,11780,53010,Ford,Fusion,0
10095,271,42,307447,17-03-1990,IL,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,19-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,NO,1,0,NO,93720,17040,8520,68160,Mercedes,ML350,0
10097,325,47,900628,05-02-2006,IN,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,14-01-2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,6550 Andromedia St,11,1,YES,0,3,NO,72930,6630,6630,59670,Dodge,RAM,0
10098,29,25,235220,01-11-2014,IL,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,22-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,1679 2nd Hwy,4,4,YES,1,2,YES,64890,7210,7210,50470,Nissan,Pathfinder,0
10101,269,41,797613,19-10-1990,IN,500,1463.82,0,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,24-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,7717 Britain Hwy,23,1,YES,0,0,?,79300,15860,15860,47580,Saab,92x,0
10102,80,27,193442,05-08-1996,IL,1000,1474.17,0,FEMALE,College,tech-support,exercise,unmarried,0,0,19-02-2015,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,YES,1,0,YES,52800,10560,5280,36960,Saab,95,0
10103,279,41,389238,06-06-2001,IL,500,1497.35,0,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700,29-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,2199 Texas Drive,16,3,?,2,3,NO,28800,0,3600,25200,Ford,Fusion,0
10105,350,54,939905,31-10-2013,OH,500,1495.1,0,MALE,College,other-service,basketball,wife,50500,0,12-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,4154 Lincoln Hwy,15,3,NO,0,0,?,93480,15580,7790,70110,Chevrolet,Malibu,0
10107,464,61,632627,07-10-1990,OH,1000,1125.37,0,FEMALE,Associate,prof-specialty,basketball,husband,0,-56400,13-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,4793 4th Ridge,6,3,?,0,2,YES,79800,6650,19950,53200,Saab,95,0
10108,118,28,283414,28-12-1991,IN,2000,1207.36,0,FEMALE,High School,handlers-cleaners,camping,own-child,0,-57000,01-03-2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,7428 Sky Hwy,22,2,NO,1,0,?,74200,7420,14840,51940,Volkswagen,Passat,0
10109,298,47,163161,11-11-1998,IL,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,basketball,other-relative,28800,0,02-02-2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,2306 5th Lane,1,1,?,0,0,?,70590,10860,10860,48870,Saab,93,0
10110,87,31,853360,26-06-2009,IN,1000,1074.07,0,FEMALE,Masters,sales,chess,husband,0,-47500,27-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Springfield,3052 Weaver Ridge,16,3,NO,0,3,YES,60940,5540,11080,44320,Nissan,Ultima,0
10111,261,42,776860,11-01-2009,OH,500,1337.56,0,FEMALE,College,prof-specialty,video-games,unmarried,0,0,12-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,5211 Weaver Drive,18,1,?,1,2,YES,74700,7470,14940,52290,Dodge,RAM,0
10112,453,60,149367,18-03-2003,IN,500,1298.91,6000000,MALE,PhD,craft-repair,dancing,unmarried,52600,-38800,06-01-2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,7253 MLK St,0,1,YES,0,0,?,70000,14000,7000,49000,Ford,F150,0
10113,210,41,395269,02-11-2012,IL,500,1222.75,0,MALE,High School,exec-managerial,polo,other-relative,0,-41000,30-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,1454 5th Ridge,12,3,?,2,0,NO,81070,14740,14740,51590,BMW,X5,0
10114,168,32,981123,04-05-2000,IN,1000,1059.52,0,MALE,MD,protective-serv,camping,own-child,0,-40600,01-03-2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,5622 Best Ridge,13,2,?,1,1,?,57720,14430,9620,33670,Saab,93,0
